"SourceFile","GPSLatitude","GPSLongitude","DateTimeOriginal","country"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210320_215059.jpg",46.4415419722222,6.97703997222222,"2021:03:20 12:59:41","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210320_222412.jpg",46.4359099722222,6.975792,"2021:03:20 13:04:06","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210320_223201.jpg",46.4385729722222,6.964505,"2021:03:20 12:54:33","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210320_225506.jpg",46.4387529722222,6.974807,"2021:03:20 13:02:06","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210321_121637.jpg",46.241286,6.14382597222222,"2021:03:21 12:16:38","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210321_123011.jpg",46.240687,6.138001,"2021:03:21 12:30:12","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210321_144511.jpg",46.2257689722222,6.14671697222222,"2021:03:21 11:44:22","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210321_144958.jpg",46.2411799722222,6.14375697222222,"2021:03:21 12:18:57","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210321_145159.jpg",46.2344239722222,6.139617,"2021:03:21 12:00:21","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210321_184901.jpg",46.2333709722222,6.141248,"2021:03:21 12:46:21","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210325_160019.jpg",46.439785,6.97027397222222,"2021:03:20 12:56:14","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210325_164512.jpg",46.2334249722222,6.14126997222222,"2020:10:30 16:59:45","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210325_224615.jpg",46.2333709722222,6.141248,"2021:03:21 12:46:21","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210326_161857.jpg",46.4387529722222,6.974807,"2021:03:20 13:02:06","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210328_185830.jpg",46.220246,6.15162997222222,"2021:03:28 18:48:17","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210328_185915.jpg",46.2204189722222,6.151239,"2021:03:28 18:45:25","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210328_190224.jpg",46.217494,6.151265,"2021:03:28 19:00:32","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210328_191815.jpg",46.2196509722222,6.150881,"2021:03:28 19:07:33","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210330_185644.jpg",46.2296189722222,6.14828797222222,"2021:03:30 18:55:48","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210330_185734.jpg",46.2297579722222,6.148475,"2021:03:30 18:57:35","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210330_185925.jpg",46.230012,6.147934,"2021:03:30 18:59:26","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210331_182747.jpg",46.2267259722222,6.147089,"2021:03:31 18:27:48","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210331_183023.jpg",46.2277109722222,6.147024,"2021:03:31 18:30:06","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210331_183214.jpg",46.227684,6.147044,"2021:03:31 18:32:15","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210331_193130.jpg",46.226823,6.146713,"2021:03:30 18:47:39","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210331_193239.jpg",46.2276439722222,6.14659597222222,"2021:03:30 18:50:42","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210331_193315.jpg",46.227243,6.146192,"2021:03:30 18:49:24","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210403_112201.jpg",46.2198169722222,6.151091,"2021:04:03 11:22:02","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210403_112328.jpg",46.2200509722222,6.15183997222222,"2021:04:03 11:23:29","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210403_113621.jpg",46.2245229722222,6.147368,"2021:04:03 11:36:22","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210403_114346.jpg",46.2268139722222,6.14655697222222,"2021:04:03 11:43:49","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210403_120735.jpg",46.226804,6.14662897222222,"2021:04:03 11:44:09","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210403_120921.jpg",46.2243769722222,6.14742097222222,"2021:04:03 11:33:57","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210404_192305.jpg",46.2280349722222,6.146798,"2021:04:04 18:54:38","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210410_000450.jpg",NA,NA,NA,NA
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210411_123415.jpg",46.258153,6.13942997222222,"2021:04:11 12:34:16","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210411_124056.jpg",46.2586239722222,6.13905297222222,"2021:04:11 12:40:57","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210411_124227.jpg",46.258625,6.139082,"2021:04:11 12:42:28","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210411_125156.jpg",46.2591269722222,6.139267,"2021:04:11 12:51:57","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210411_125251.jpg",46.259151,6.13925197222222,"2021:04:11 12:52:52","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210411_130534.jpg",46.2581789722222,6.13893397222222,"2021:04:11 13:05:35","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210411_130557.jpg",46.258169,6.138878,"2021:04:11 13:05:58","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210411_130621.jpg",46.2581739722222,6.138878,"2021:04:11 13:06:22","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210411_130909.jpg",46.258152,6.13913797222222,"2021:04:11 13:09:12","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210411_131007.jpg",46.2581309722222,6.139285,"2021:04:11 13:10:09","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210411_131059.jpg",46.258169,6.13925097222222,"2021:04:11 13:11:01","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210411_131102.jpg",46.258169,6.13925097222222,"2021:04:11 13:11:04","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210411_131201.jpg",46.2581249722222,6.13921,"2021:04:11 13:12:03","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210411_131233.jpg",46.258146,6.13916,"2021:04:11 13:12:35","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210411_131306.jpg",46.2581729722222,6.13914297222222,"2021:04:11 13:13:10","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210411_131745.jpg",46.2581899722222,6.13944897222222,"2021:04:11 13:17:47","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210411_132213.jpg",46.2581699722222,6.139516,"2021:04:11 13:22:14","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210411_132605.jpg",46.258439,6.13921997222222,"2021:04:11 13:26:07","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210411_132654.jpg",46.2584439722222,6.139261,"2021:04:11 13:26:55","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210411_132714.jpg",46.258561,6.13918197222222,"2021:04:11 13:27:15","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210411_132731.jpg",46.2585679722222,6.13917597222222,"2021:04:11 13:27:33","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210411_132749.jpg",46.258561,6.139192,"2021:04:11 13:27:50","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210411_132859.jpg",46.258718,6.13900397222222,"2021:04:11 13:29:01","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210411_133104.jpg",46.2580609722222,6.139628,"2021:04:11 13:31:05","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210411_143350.jpg",46.2586489722222,6.138847,"2021:04:11 13:29:55","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210411_144016.jpg",46.259193,6.13930697222222,"2021:04:11 12:59:04","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210411_144141.jpg",46.259148,6.139297,"2021:04:11 12:51:30","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210417_172448.jpg",46.2411389722222,6.13154997222222,"2021:04:17 17:24:49","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210420_185331.jpg",46.2276939722222,6.146677,"2021:04:20 18:52:59","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210420_185346.jpg",46.2277249722222,6.14661697222222,"2021:04:20 18:52:23","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210420_185950.jpg",46.2291829722222,6.147928,"2021:04:20 18:59:50","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210420_190143.jpg",46.2294899722222,6.148028,"2021:04:20 19:01:44","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210420_190338.jpg",46.2297349722222,6.148188,"2021:04:20 19:03:39","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210420_190512.jpg",46.22973,6.14853297222222,"2021:04:20 19:05:13","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210420_191502.jpg",46.2278859722222,6.147071,"2021:04:20 19:15:03","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210420_191714.jpg",46.2278049722222,6.147647,"2021:04:20 19:17:07","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210420_191726.jpg",46.2298959722222,6.14879997222222,"2021:04:20 19:07:15","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210420_192946.jpg",46.224395,6.15066797222222,"2021:04:20 19:29:25","Switzerland"
